Ville,Temperature,Temperature ressentie,Temperature minimale,Temperature maximale,Pression atmospherique,Humidite,Vitesse du vent,Direction du vent,Lever du soleil,Coucher du soleil
Paris,11.67,10.2,10.62,12.92,1025,50,7.72,ENE,07:24:51,20:22:48
Marseille,17.85,16.6,14.53,19.26,1009,35,1.34,ONO,07:16:58,20:05:29
Lyon,8.01,7.57,7.03,8.17,1019,74,1.34,NNE,07:18:42,20:11:05
Toulouse,13.01,11.99,12.09,13.23,1019,62,5.66,NO,07:32:58,20:21:56
Nice,10.9,9.56,9.34,11.55,1010,58,2.72,SSO,07:09:27,19:58:59
Nantes,8.96,6.23,7.81,8.96,1024,71,5.14,ENE,07:42:06,20:37:00
Strasbourg,8.03,4.51,6.84,8.49,1025,49,6.69,ENE,07:03:34,20:00:56
Montpellier,18.66,17.6,18.29,18.71,1012,39,7.72,NNE,07:23:14,20:12:11
Bordeaux,14.15,12.95,14.15,15.75,1021,51,3.09,NNE,07:40:04,20:31:01
Lille,11.41,9.7,10.12,12.75,1027,42,5.14,NE,07:20:16,20:21:42
Rennes,10.17,8.86,10.02,12.54,1025,62,3.09,E,07:41:32,20:38:14
Reims,10.87,9.42,10.41,10.88,1025,54,5.14,ENE,07:17:38,20:16:09
Le Havre,10.51,9.24,10.51,10.86,1026,62,5.14,ENE,07:33:11,20:32:23
Saint-Étienne,5.58,2.32,5.56,6.59,1018,75,4.47,N,07:19:18,20:11:08
Toulon,18.49,17.8,17.36,22.51,1008,54,6.69,SO,07:15:24,20:03:35
Grenoble,2.25,-0.59,1.98,4.5,1017,92,2.75,NNO,07:14:15,20:05:32
Dijon,7.98,4.8,7.85,11.29,1022,76,5.66,NNE,07:15:37,20:10:42
Angers,11.56,10.29,10.01,11.56,1023,58,5.32,NE,07:37:43,20:33:07
Nîmes,16.33,15.04,14.1,17.31,1013,39,9.77,N,07:20:50,20:10:16
Villeurbanne,10.6,9.62,8.52,13.49,1019,73,9.26,NNO,07:17:29,20:09:54
